अँगड़ाई,आँकड़ा,इंका,ईंट,उँगली,ऊँचा,ऋग्वेद,एंजियोग्राफी,ऐंठ,ऑकलैंड,ओंठ,औंधा,कँपकँपी,खंगालना,गँवई,घंटा,चँवर,छँटाई,जँभाई,झंकार,टंकण,डंक,ढँकना,तंग,थंडर,दंग,धँसना,नंगा,पंक,फँसना,बँगला,भँवर,मँगनी,यंत्र,रंक,लँगड़ा,वंचित,श,षडयंत्र,सँकरा,ह,क़द,ख़त,ग़म,ज़ख्म,फ़र्श
अनारक्षित,आड़,,,,,,,,,,,क़ैंची,,गोलकुंडा,,चौकीदार,,जीवाश्म,,,,,तो,,देखो,,निराकरण,पहनना,,बाधारहित,,मा,,,,विरक्त,,,समझौता,,,,,,
अनावरण,आड़ा,,,,,,,,,,,क़ैद,,गोलची,,चौकोर,,जीविका,,,,,तोंद,,देग,,निराकार,पहनने,,बाधित,,माँ,,,,विरक्ति,,,समतल,,,,,,
अनावश्यक,आड़े,,,,,,,,,,,क़ैदी,,गोलमाल,,चौकड़ी,,जीविकोपार्जन,,,,,तोड़,,देग़,,निराकृत,पहना,,बाध्य,,माँग,,,,विरत,,,समता,,,,,,
अनावृत,,,,,,,,,,,,क़ौम,,गोलमेज़,,चौखट,,जीवित,,,,,तोड़ना,,देदीप्यमान,,निरादर,पहनाना,,बाध्यकारी,,माँगना,,,,विरल,,,समतुल्य,,,,,,
अनासक्त,,,,,,,,,,,,क़ौमी,,गोलमोल,,चौखटा,,जीसस,,,,,तोड़फोड़,,देन,,निराधार,पहनावा,,बाध्यता,,माँझी,,,,विरला,,,समत्व,,,,,,
अनासक्ति,,,,,,,,,,,,का,,गोलरक्षक,,चौगान,,जुआ,,,,,तोड़ा,,देनदार,,निरापद,पहर,,बान,,माँड,,,,विरह,,,समधी,,,,,,
अनाहत,,,,,,,,,,,,काँख,,गोला,,चौगुना,,जुआघर,,,,,तोडी,,देनदारी,,निरामिष,पहरा,,बानगी,,माँडना,,,,विराग,,,समन,,,,,,
अनाड़ी,,,,,,,,,,,,काँग्रेस,,गोलाई,,चौगुनी,,जुआरी,,,,,तोता,,देना,,निराला,पहरेदार,,बानवे,,माँद,,,,विराजमान,,,समन्दर,,,,,,
अनिच्छा,,,,,,,,,,,,काँच,,गोलाकार,,चौड़ा,,जुकाम,,,,,तोप,,देनी,,निराली,पहरेदारी,,बाना,,माँस,,,,विराट,,,समन्वय,,,,,,
अनिच्छुक,,,,,,,,,,,,काँटा,,गोलाबारी,,चौड़ाई,,जुखाम,,,,,तोपखाना,,देनेवाला,,निराश,पहल,,बानी,,माँसाहारी,,,,विराम,,,समन्वयक,,,,,,
अनित्य,,,,,,,,,,,,काँटेदार,,गोलाबारूद,,चौतरफा,,जुगत,,,,,तोपें,,देब,,निराशा,पहलकदमी,,बाप,,मां,,,,विरासत,,,समन्वयन,,,,,,
अनिद्रा,,,,,,,,,,,,काँपता,,गोलार्ध,,चौथा,,जुगनू,,,,,तोपों,,देय,,निराशाजनक,पहलवान,,बापू,,मांग,,,,विरुद्ध,,,समन्वित,,,,,,
अनिमेष,,,,,,,,,,,,काँस्य,,गोलियां,,चौथाई,,जुगल,,,,,तोबा,,देयता,,निराशापूर्ण,पहला,,बाब,,मांगना,,,,विरूपण,,,समबुद्धि,,,,,,
अनियंत्रित,,,,,,,,,,,,कांगो,,गोली,,चौथे,,जुगाड़,,,,,तोरण,,देर,,निराशावाद,पहलु,,बाबत,,मांगपत्र,,,,विरेचन,,,समभाग,,,,,,
अनियमित,,,,,,,,,,,,कांग्रेस,,गोलीकांड,,चौदह,,जुगाली,,,,,तोरी,,देरी,,निराशावादी,पहलू,,बाबर,,मांगलिक,,,,विरोध,,,समभाव,,,,,,
अनियमितता,,,,,,,,,,,,कांच,,गोलीबारी,,चौदहवाँ,,जुगाड़,,,,,तोल,,देव,,निराश्रित,पहले,,बाबा,,मांझी,,,,विरोध करना,,,समय,,,,,,
अनियमितताएँ,,,,,,,,,,,,कांटा,,गोल्फ,,चौदहवां,,जुगुप्सा,,,,,तोलना,,देवकर्म,,निराहार,पहाड़,,बाबुल,,मांद,,,,विरोधाभास,,,समयसारिणी,,,,,,
अनियोजित,,,,,,,,,,,,कांटेदार,,गोल्फ़,,चौधरी,,जुझारू,,,,,तोला,,देवगण,,निरीक्षक,पहाड़ा,,बाबू,,मांस,,,,विरोधाभासी,,,समयानुकूल,,,,,,
अनिर्णय,,,,,,,,,,,,कांड,,गोशाला,,चौपट,,जुटना,,,,,तोशक,,देवता,,निरीक्षण,पहाड़ी,,बाम,,मांसपेशी,,,,विरोधी,,,समयानुसार,,,,,,
अनिर्णित,,,,,,,,,,,,कांति,,गोश्त,,चौपहिया,,जुटाना,,,,,तोहफ़ा,,देवतुल्य,,निरीह,पहाड़,,बायकाट,,मांसल,,,,विलंब,,,समयावधि,,,,,,
अनिर्णीत,,,,,,,,,,,,कांतिमान,,गोष्ठ,,चौपाई,,जुड़कर,,,,,तोहफा,,देवत्व,,निरुक्त,पहाड़ी,,बायन,,मांसाहारी,,,,विलंबित,,,समयोचित,,,,,,
अनिर्वचनीय,,,,,,,,,,,,कांधार,,गोष्ठी,,चौपाया,,जुड़ना,,,,,तोड़,,देवदार,,निरुत्तर,पहिचान,,बायलर,,माइक,,,,विलक्षण,,,समर,,,,,,
अनिल,,,,,,,,,,,,कांप,,गोसाई,,चौपाल,,जुड़वाँ,,,,,तोड़ना,,देवदूत,,निरुत्साह,पहिया,,बायस्कोप,,माइक्रोग्राम,,,,विलक्षणता,,,समरस,,,,,,
अनिवार्य,,,,,,,,,,,,कांसा,,गोह,,चौबीस,,जुड़वां,,,,,तोड़ा,,देवनागरी,,निरुत्साहित,पहिये,,बायाँ,,माइक्रोचिप,,,,विलग,,,समरसता,,,,,,
अनिवार्यतः,,,,,,,,,,,,कांस्टेबल,,गौ,,चौबीसवाँ,,जुड़ा,,,,,तौर,,देवर,,निरुद्देश्य,पहिले,,बायां,,माइक्रोन,,,,विलम्ब,,,समरी,,,,,,
अनिवार्यता,,,,,,,,,,,,कांस्य,,गौण,,चौमासा,,जुड़ाव,,,,,तौल,,देवरानी,,निरुद्ध,पहुँच,,बायें,,माइक्रोप्रोसेसर,,,,विलय,,,समरूप,,,,,,
अनिवासी,,,,,,,,,,,,काई,,गौतम,,चौरस,,जुड़े,,,,,तौलना,,देवलोक,,निरूपण,पहुँचना,,बायोटिन,,माइक्रोफ़ोन,,,,विलयन,,,समरूपता,,,,,,
अनिश्चय,,,,,,,,,,,,काउंट,,गौर,,चौरासी,,जुताई,,,,,तौलिया,,देवस्थान,,निरोग,पहुँचा,,बायोप्सी,,माइक्रोफोन,,,,विला,,,समर्थ,,,,,,
अनिश्चित,,,,,,,,,,,,काउंटर,,गौरतलब,,चौराहा,,जुदा,,,,,तौहीन,,देवालय,,निरोध,पहुँचाना,,बार,,माइक्रोवेव,,,,विलाप,,,समर्थक,,,,,,
अनिश्चितता,,,,,,,,,,,,काउंटी,,गौरव,,चौलाई,,जुदाई,,,,,त्याग,,देवी,,निरोधक,पहुंच,,बारंबार,,माइक्रोस्कोप,,,,विलाप करना,,,समर्थन,,,,,,
अनिष्ट,,,,,,,,,,,,काक,,गौरवपूर्ण,,चौसठ,,जुनून,,,,,त्यागना,,देश,,निरोधी,पहुंचता,,बारक,,माइग्रेन,,,,विलायत,,,समर्थन करना,,,,,,
अनी,,,,,,,,,,,,काका,,गौरवमय,,चौड़ा,,जुबली,,,,,त्यागपत्र,,देशज,,निर्गम,पहुंचना,,बारबाडोस,,माइलेज,,,,विलायती,,,समर्थित,,,,,,
अनीक,,,,,,,,,,,,काग,,गौरवशाली,,चौड़ाई,,जुबान,,,,,त्यागा,,देशद्रोह,,निर्गमन,पहुंचा,,बारबार,,माउस,,,,विलास,,,समर्पण,,,,,,
अनीति,,,,,,,,,,,,कागज,,गौरवान्वित,,चढ़ना,,जुमला,,,,,त्यागी,,देशद्रोही,,निर्गुण,पहुंचाना,,बारम्बार,,माओवाद,,,,विलासिता,,,समर्पित,,,,,,
अनीश्वरवादी,,,,,,,,,,,,कागज़,,गौरैया,,चढ़ाई,,जुम्बिश,,,,,त्याज्य,,देशप्रेम,,निर्जन,पहुंचायी,,बारह,,माओवादी,,,,विलासी,,,समलिंगी,,,,,,
अनु,,,,,,,,,,,,कागज़ी,,गौशाला,,चढ़ाना,,जुराब,,,,,त्योहार,,देशभक्त,,निर्जल,पहेली,,बारहमासी,,माकूल,,,,विलियम्स,,,समलैंगिक,,,,,,
अनुकंपा,,,,,,,,,,,,कागजात,,ग्यारह,,चढ़ाव,,जुर्म,,,,,त्यौहार,,देशभक्ति,,निर्जीव,पा,,बारहवाँ,,माखन,,,,विलिस,,,समलैंगिकता,,,,,,
अनुकम्पा,,,,,,,,,,,,कागजी,,ग्यारहवाँ,,चढ़ावा,,जुर्माना,,,,,त्रय,,देशभक्तिपूर्ण,,निर्णय,पाँच,,बारहवां,,माघ,,,,विलीन,,,समवयस्क,,,,,,
अनुकरण,,,,,,,,,,,,कागद,,ग्यारहवां,,,,जुलाई,,,,,त्रयोदशी,,देशवासी,,निर्णय करना,पाँचवा,,बारहसिंगा,,माचिस,,,,विलुप्त,,,समवर्ती,,,,,,
अनुकरणीय,,,,,,,,,,,,काग़ज,,ग्रंथ,,,,जुलाब,,,,,त्रस्त,,देशव्यापी,,निर्णयात्मक,पाँचवाँ,,बारा,,माजरा,,,,विलो,,,समवेत,,,,,,
